path,title,current_tags,primary_topic,new_layout,description,headings,images_alt,callouts,related_posts,products,links,qa,status
_posts/2011-08-23-google-event-tracking-from-php.markdown,Google Event Tracking from PHP,php,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2011-11-03-ios-html-application-configuration.md,iOS HTML Application Configuration,ux,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-02-09-mysql-list-of-privileges-for-a-database.markdown,MySQL list of privileges for a database,mysql,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-03-10-qunit-rules-for-jshint.md,QUnit rules for JSHint,javascript,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-05-02-google-chart-color-list.md,Google Chart Color List,css|ux,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-06-22-get-more-exercise-during-the-programming-workday.md,Get more exercise during the programming workday,"",Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-07-29-handlebars-helpers-for-debugging-and-pluralization.md,Handlebars Helpers for Debugging and Pluralization,javascript,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-08-23-dotfiles-for-puppet-installation.markdown,Dotfiles for Puppet Installation,"",Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-09-10-fogbugz-geckoboard-widgets.md,FogBugz GeckoBoard Widgets,"",Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-09-17-fogbugz-command-line-client.md,FogBugz Command Line Client,php,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-09-18-amd-javascript-parse-url.markdown,AMD Javascript Parse URL,javascript,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-09-27-php-pake-to-build-a-readme-file.markdown,PHP Pake to build a README file,php,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-10-16-pchart-updated-with-image-maps.markdown,pChart updated with image maps,php,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2012-12-05-html-minifier-and-handlebars-compiler-for-jst-and-backbonejs.markdown,HTML Minifier and Handlebars compiler for JST and BackboneJS,javascript,Software,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,excluded_unpublished,excluded
_posts/2012-12-31-markdown-resume-builder.markdown,Markdown Resume Builder,php,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2013-01-03-jquery-animated-borders.markdown,jQuery Animated Border: jquery.animatedborders.js,javascript,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2013-01-05-generating-jsonp-with-hifi-cms.markdown,Generating JSONP with HiFi CMS,javascript,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
_posts/2013-01-16-introducing-campfire-chat-on-the-command-line.markdown,"Introducing TermCamp, a Campfire command line client",javascript,Software,complete,complete,complete,complete,complete,complete,complete,reviewed,complete,complete
